Company Name,Industry,Symbol,Series,ISIN Code,code
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010,14977
Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods,PGHH,EQ,INE179A01014,2535
Punjab National Bank,Financial Services,PNB,EQ,INE160A01022,10666
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018,2885
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,EQ,INE018E01016,17971
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016,21808
SRF Ltd.,Chemicals,SRF,EQ,INE647A01010,3273
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035,4204
Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,INE070A01015,3103
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01013,4306
Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024,3150
State Bank of India,Financial Services,SBIN,EQ,INE062A01020,3045
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036,3351
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023,8479
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029,11536
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025,3432
Tata Motors Ltd DVR,Automobile and Auto Components,TATAMTRDVR,EQ,IN9155A01020,16965
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022,3456
Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021,3426
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020,3499
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036,13538
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028,3506
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028,3518
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020,1964
UPL Ltd.,Chemicals,UPL,EQ,INE628A01036,11287
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011,11532
United Spirits Ltd.,Fast Moving Consumer Goods,MCDOWELL-N,EQ,INE854D01024,10447
Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL,EQ,INE200M01021,18921
Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025,3063
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022,3787
Zomato Ltd.,Consumer Services,ZOMATO,EQ,INE758T01015,5097
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027,7929
